config,scenario,nlos_bias_ns,nlos_probability,num_sim,tof_bias_pred,tof_bias_sim,tof_bias_ci_low,tof_bias_ci_up,tof_std_pred,tof_std_sim,tof_std_ci_low,tof_std_ci_up,tdoa_bias_pred,tdoa_bias_sim,tdoa_bias_ci_low,tdoa_bias_ci_up,tdoa_std_pred,tdoa_std_sim,tdoa_std_ci_low,tdoa_std_ci_up,tof_bias_dev,tof_std_rel_dev,tof_bias_in_ci,tof_std_in_ci,tdoa_bias_dev,tdoa_std_rel_dev,tdoa_bias_in_ci,tdoa_std_in_ci
symmetric_sigma,A,1.0,0.125,20000,0.125,0.12581947681053998,0.11404617015866443,0.13759278346241555,0.6449927325171968,0.6463309054511538,0.6381055373161131,0.6547565310656425,0.0,-0.021330726094763545,-0.04655804766272194,0.003896595473194847,1.3842021618968812,1.3849293213243925,1.3673043657283832,1.4029833798037128,0.0008194768105399819,0.0020747100959332965,True,True,-0.021330726094763545,0.0005253274756591431,True,True
symmetric_sigma,A,1.0,0.25,20000,0.25,0.25225452895751665,0.23998234056134726,0.26452671735368605,0.667317390751957,0.6737185119271236,0.6651446022884931,0.6825011647496527,0.0,0.022669205354736967,-0.0027596278174713447,0.048098038526945275,1.3947446002763373,1.3959919039517648,1.3782261631730153,1.4141901752155295,0.002254528957516655,0.009592318833401947,True,True,0.022669205354736967,0.0008942882268052621,True,True
symmetric_sigma,A,1.0,0.375,20000,0.37500000000000006,0.37748126671417137,0.36503768246638113,0.3899248509619616,0.6803606580336639,0.6831278001792934,0.6744341455940573,0.6920331132977219,0.0,0.0015369237711632452,-0.024033751296691983,0.02710759883901847,1.4010319857162434,1.4037787393375376,1.3859139013515918,1.4220785204612345,0.002481266714171315,0.004067169541559057,True,True,0.0015369237711632452,0.001960521707782492,True,True
symmetric_sigma,A,1.0,0.5,20000,0.5,0.4920595670971813,0.4796806812210032,0.5044384529733593,0.6846531968814576,0.6795759894313196,0.67092753607459,0.6884350008374772,0.0,-0.0008340469450746347,-0.02634360375638675,0.02467550986623748,1.4031215200402283,1.4004234697213491,1.3826013317324988,1.418679511259977,-0.007940432902818706,-0.007415736132197037,True,True,-0.0008340469450746347,-0.0019228914105756667,True,True
symmetric_sigma,A,1.0,0.625,20000,0.625,0.6251821585917151,0.6128488507857437,0.6375154663976865,0.6803606580336639,0.6770738448549142,0.668457234413469,0.6859002380878477,0.0,0.0013485958950855785,-0.024189709436698285,0.026886901226869445,1.4010319857162434,1.4020017057952332,1.3841594827808916,1.4202783213558947,0.00018215859171510917,-0.004830986536242476,True,True,0.0013485958950855785,0.0006921469951266523,True,True
symmetric_sigma,A,1.0,0.75,20000,0.7500000000000001,0.7417261607233375,0.7296040894548866,0.7538482319917884,0.667317390751957,0.6654773829095125,0.6570083519320238,0.6741526036610119,0.0,0.006904559394225179,-0.018392274135306877,0.03220139292375723,1.3947446002763373,1.3887453885000856,1.3710718686824315,1.406849193561336,-0.008273839276662587,-0.002757320381492012,True,True,0.006904559394225179,-0.0043012977250911355,True,True
symmetric_sigma,A,1.0,0.875,20000,0.8750000000000001,0.8746977060481181,0.8630845791245632,0.8863108329716731,0.6449927325171968,0.6375373598567343,0.6294239005738255,0.645848352049894,0.0,-0.011045446831418929,-0.03624193472657835,0.01415104106374049,1.3842021618968812,1.3832366145727706,1.3656332007846175,1.4012686067803963,-0.00030229395188197117,-0.011558847541377038,True,True,-0.011045446831418929,-0.0006975479093223047,True,True
symmetric_sigma,A,1.0,1.0,20000,1.0,1.008095314410419,0.9968988191175925,1.0192918097032455,0.6123724356957946,0.614665119534561,0.6068427380805728,0.6226779472236039,0.0,-0.005350462321191799,-0.030360402499010983,0.019659477856627385,1.3693063937629155,1.372995519303316,1.3555224362451137,1.3908940077067837,0.008095314410418997,0.003743937031002176,True,True,-0.005350462321191799,0.0026941563679276914,True,True
symmetric_sigma,A,2.0,0.125,20000,0.25,0.25188883957616864,0.23846743206760562,0.26531024708473167,0.7342087577794206,0.736808334645435,0.727431528204167,0.7464134318564741,0.0,0.0027740165762221995,-0.02333862197498239,0.02888665512742679,1.4279574573494829,1.433531446820006,1.4152879684658006,1.4522190868131308,0.0018888395761686438,0.003540650855046623,True,True,0.0027740165762221995,0.0039034702622509077,True,True
symmetric_sigma,A,2.0,0.25,20000,0.5,0.48710794057057216,0.4723871787989628,0.5018287023421815,0.8100925873009825,0.808140275804274,0.7978556813075842,0.8186752623730557,0.0,-0.00582909253660924,-0.03259012686158181,0.020931941788363332,1.4684175155588415,1.4691270734304283,1.4504305962633877,1.4882787410923572,-0.012892059429427838,-0.0024099856328929636,True,True,-0.00582909253660924,0.00048321261771167023,True,True
