responder,mae,fitted_noise_initiator,fitted_noise_responder,r2,r2_alt,mae_passive_0,fitted_noise_initiator_passive_0,fitted_noise_responder_passive_0,r2_passive_0,mae_passive_1,fitted_noise_initiator_passive_1,fitted_noise_responder_passive_1,r2_passive_1,mae_passive_2,fitted_noise_initiator_passive_2,fitted_noise_responder_passive_2,r2_passive_2,mae_passive_4,fitted_noise_initiator_passive_4,fitted_noise_responder_passive_4,r2_passive_4,mae_passive_5,fitted_noise_initiator_passive_5,fitted_noise_responder_passive_5,r2_passive_5,mae_passive_6,fitted_noise_initiator_passive_6,fitted_noise_responder_passive_6,r2_passive_6
0,0.022398606194829817,0.019258966571698906,0.023579121588009545,0.601,-97.694,,,,,0.00015814355771738892,0.025946311775762645,0.025641862639343954,0.767,0.007982347977947729,0.03561685810433622,0.02225309252919233,0.89,-0.021782038302939125,0.03457340771029167,0.02693635510780277,0.948,0.11001547679830036,0.028208970746117903,0.04105419688318107,-1.535,0.458547842190796,0.2521914601090215,0.028240976328769252,0.911
1,0.14364797374183688,0.025946311775762645,0.03282445977809413,0.549,-81.784,-0.06855232487113441,0.019258966571698906,0.024680457091065006,0.734,,,,,0.027753090830030393,0.03561685810433622,0.02165582160667421,0.922,-0.21857504613110623,0.03457340771029167,0.030123505269036063,0.891,-0.08788967179614854,0.028208970746117903,0.016448348134671383,0.868,0.32482432007802714,0.2521914601090215,0.02965170195571215,0.897
2,-0.018763825518439095,0.03561685810433622,0.030705464612117095,0.172,-80.113,0.011226587862142314,0.019258966571698906,0.023376544789908235,0.777,0.10164474389552802,0.025946311775762645,0.019397021149478024,0.968,,,,,-0.07682141326157578,0.03457340771029167,0.03317233859030326,0.6,-0.10207074737438497,0.028208970746117903,0.03555950072208568,0.87,0.40957281167289916,0.2521914601090215,0.030678747407086603,0.982
4,-0.13242696691329947,0.03457340771029167,0.030623035212879963,0.765,-94.169,0.0904056766144702,0.019258966571698906,0.02509456930122085,0.929,0.024468940250134318,0.025946311775762645,0.02555534582437618,0.742,0.012814642187862506,0.03561685810433622,0.03279265963746715,0.775,,,,,-0.11193685560966636,0.028208970746117903,0.023635143983082058,0.928,0.28728244539943937,0.2521914601090215,0.023586841368702045,0.951
5,-0.10861018527792599,0.028208970746117903,0.0324768984056482,0.451,-128.694,0.262805045404348,0.019258966571698906,0.03545371524261244,0.648,0.1005249917424465,0.025946311775762645,0.019296212657003486,0.898,0.008332922416099509,0.03561685810433622,0.024242155398865876,0.691,-0.12526194306166358,0.03457340771029167,0.0177453937954529,0.683,,,,,0.2557595779760114,0.2521914601090215,0.034787303764037596,0.91
6,0.28557479629146143,0.2521914601090215,0.24679263517433134,-0.06,-53.882,0.12035692965404624,0.019258966571698906,0.03918374808959546,0.603,0.142070215302418,0.025946311775762645,0.027651693196085937,0.56,0.10818559921470473,0.03561685810433622,0.02613452105609196,0.563,-0.15633220508776097,0.03457340771029167,0.023759862278447216,0.621,-0.16322732273972923,0.028208970746117903,0.03213241737868715,0.656,,,,
